,corr_textblob,corr_vader,btc_twt_count,avg_textblob,avg_vader
Crypto,0.03,0.1,2044,0.07,0.02
Coin_Telegraph,0.19,0.17,1865,0.09,0.14
Coin_Desk,-0.06,-0.08,1071,0.09,0.15
Bitcoin,0.03,0.07,1545,0.1,0.12
BTCTN,0.04,0.08,1388,0.06,0.06
Combined_news,0.03,0.12,6525,0.08,0.06
