Date,tweet_id,text,name
Fri Jan 22 00:49:37 +0000 2021,1352418103427280896," Bitcoin just crashed to levels not seen since....earlier this month 🤯

Everyone relax and zoom out.",APompliano
Thu Jan 21 23:22:55 +0000 2021,1352396287740702724,"EVERGREEN TWEET: Everybody wants to be a trader until they start losing money like most traders. 

Know your circle of competence and stay in your lane.",APompliano
Thu Jan 21 23:21:06 +0000 2021,1352395827025752069,"  Jesus, you’re not playing around 🔥",APompliano
Thu Jan 21 23:19:16 +0000 2021,1352395368043061248,"There was no double spend.

Calm down.",APompliano
Thu Jan 21 22:31:06 +0000 2021,1352383245128773632," If you're so good as an investment manager, why did millions of random people on the internet out perform you by simply buying Bitcoin and holding it over the last few years?

Love you, Puru! Just want you to realize it goes both ways :)",APompliano
Thu Jan 21 22:29:47 +0000 2021,1352382914324013066,The best founders are problem solvers at their core.,APompliano
Thu Jan 21 22:23:28 +0000 2021,1352381324057837574, You guys asked and we got him! Recorded Episode 1 of Season 2 with !  Check it out at …,APompliano
Thu Jan 21 20:03:58 +0000 2021,1352346216865132547,"“Pay me in Bitcoin” is infiltrating corporations now.

 will pay you thousands of dollars in Bitcoin if you refer their next hire.

Eat your hearts out 🔥🔥 ",APompliano
Thu Jan 21 18:02:17 +0000 2021,1352315593781817352,"BlockFi continues to add new products to support their goal of becoming the most important company in the new digital financial system.

OTC desk is now open for business.

",APompliano
Thu Jan 21 17:38:10 +0000 2021,1352309528088481793,"Bitcoin just crashed to levels not seen since....earlier this month 🤯

Everyone relax and zoom out.",APompliano
Thu Jan 21 17:36:43 +0000 2021,1352309159711166464,   🙏🏼🙏🏼🙏🏼,APompliano
Thu Jan 21 17:30:48 +0000 2021,1352307673744756738," Imagine being short Tesla, being wrong, and then moving on to short Bitcoin. 😂😂

Appreciate you anyways though. Hope you’re having a good day :)",APompliano
Thu Jan 21 15:56:03 +0000 2021,1352283828367339522,"Stock to flow model is deadly accurate so far. 

This is what a programmatic monetary policy looks like. 

Predictable and transparent.

No one can change the rules unilaterally because they think they're smarter than the free market. ",APompliano
Thu Jan 21 15:46:28 +0000 2021,1352281418135691271,  excited to listen!,APompliano
Thu Jan 21 14:45:22 +0000 2021,1352266040403750912,"I went on the Business Casual podcast with  to talk about Bitcoin.

She asked great questions and I had a lot of fun. Enjoy :)

",APompliano
Thu Jan 21 04:48:41 +0000 2021,1352115881061601282, ,APompliano
Thu Jan 21 04:20:14 +0000 2021,1352108720973623296,  Check out  or if you want to earn interest ,APompliano
Thu Jan 21 04:01:40 +0000 2021,1352104047482957824,  🔥🔥🔥,APompliano
Thu Jan 21 04:00:47 +0000 2021,1352103825356828672,  🙏🏼🔥,APompliano
Thu Jan 21 03:58:59 +0000 2021,1352103371172421633, 😂😂 when will you create a “Not a VC” list?!,APompliano
Thu Jan 21 03:44:45 +0000 2021,1352099791791149057,   😂😂😂😂,APompliano
Thu Jan 21 03:43:53 +0000 2021,1352099571145564160," Because the debt I’m talking about (high interest credit cards, etc) is worse than the devaluation.",APompliano
Thu Jan 21 03:10:22 +0000 2021,1352091137448812545," BREAKING: My guy  is now getting paid in Bitcoin. 

Joe gets it. Joe is ahead of the curve. Joe wins.

I went on…",APompliano
Thu Jan 21 02:06:37 +0000 2021,1352075092554113029,Decentralize the institutions to give power back to the people,APompliano
Thu Jan 21 02:04:11 +0000 2021,1352074480076677121, Sure,APompliano
Thu Jan 21 01:59:00 +0000 2021,1352073175509696514, ,APompliano
Thu Jan 21 01:58:05 +0000 2021,1352072946844631042," My guy  is always ahead of the curve

",APompliano
Thu Jan 21 01:57:00 +0000 2021,1352072672671375360,  :),APompliano
Thu Jan 21 01:54:45 +0000 2021,1352072107711205381,Any politician that wants to tax money that you don’t have is simply an idiot and should immediately go back to high school.,APompliano
Thu Jan 21 01:46:08 +0000 2021,1352069939495108620," I don't give financial advice. What I can say is the greatest investment you ever make will be in yourself.

Start reading. Listen to podcasts. Just consume as much content about investing and personal finance that you can.

Rainy day fund. Then invest like there is no tomorrow.",APompliano
Thu Jan 21 01:42:09 +0000 2021,1352068935580004353,   good point.,APompliano
Thu Jan 21 01:41:51 +0000 2021,1352068863400275968," If anyone wants to learn about Bitcoin and why it is going to disrupt boomers like , you can subscribe to the letter I write every morning to 115,000 investors:  :)",APompliano
Thu Jan 21 01:36:41 +0000 2021,1352067562859880450, :),APompliano
Thu Jan 21 01:30:57 +0000 2021,1352066117871820802,   cc ,APompliano
Thu Jan 21 01:30:26 +0000 2021,1352065987399581699,  😂😂 appreciate you,APompliano
Thu Jan 21 01:01:45 +0000 2021,1352058768700407813,   lol we'll work on it,APompliano
Thu Jan 21 01:00:12 +0000 2021,1352058381578756096,   they're both legends and I'm happy to know each of them,APompliano
Thu Jan 21 00:56:38 +0000 2021,1352057481409781764,  :),APompliano
Thu Jan 21 00:51:38 +0000 2021,1352056225794576384, :),APompliano
Thu Jan 21 00:50:54 +0000 2021,1352056039634571266, Good morning to everyone who needs to hear this public service announcement ,APompliano
Thu Jan 21 00:47:28 +0000 2021,1352055175721181187,  :),APompliano
Thu Jan 21 00:47:21 +0000 2021,1352055147518693376, :),APompliano
Thu Jan 21 00:45:33 +0000 2021,1352054692763807748,  :),APompliano
Thu Jan 21 00:45:20 +0000 2021,1352054639596871680, bitcoin,APompliano
Thu Jan 21 00:44:30 +0000 2021,1352054429130903552,  sleep 8 hours cc  ,APompliano
Thu Jan 21 00:43:52 +0000 2021,1352054267872473088,  Appreciate people listening 👊🏽,APompliano
Thu Jan 21 00:41:53 +0000 2021,1352053771518562306,   Appreciate you 🙏🏽,APompliano
Thu Jan 21 00:41:28 +0000 2021,1352053666388340736, You're next,APompliano
Thu Jan 21 00:40:55 +0000 2021,1352053525203857411,  Pod bang bang!,APompliano
Thu Jan 21 00:13:12 +0000 2021,1352046551976337408, we’re all in this together :) appreciate all of you at ,APompliano
Wed Jan 20 23:41:48 +0000 2021,1352038650066960384,  LMAO,APompliano
Wed Jan 20 23:39:25 +0000 2021,1352038049203552265," you don't know what i do before i lay my head down, jack!!! 😂",APompliano
Wed Jan 20 22:35:10 +0000 2021,1352021882434949120," New episode with  cofounder  is live!

- Biowearables
- Metabolic health
- Physical output vs food co…",APompliano
Wed Jan 20 21:47:28 +0000 2021,1352009877972021250, 🔥🔥🔥🔥,APompliano
Wed Jan 20 20:40:32 +0000 2021,1351993033147998209,"Blackrock is now jumping into Bitcoin.

This has gone from a contrarian idea to a consensus idea on Wall Street.

",APompliano
Wed Jan 20 18:22:11 +0000 2021,1351958214003347463, 👀🔥,APompliano
Wed Jan 20 18:20:37 +0000 2021,1351957820674076677,"2020 review video from .

Pay attention. They’re going to be one of the most valuable companies in the world. ",APompliano
Wed Jan 20 15:55:12 +0000 2021,1351921227049431040, y'all see me 😂,APompliano
Wed Jan 20 15:54:44 +0000 2021,1351921107906007041, :),APompliano
Wed Jan 20 15:54:06 +0000 2021,1351920949784936450, appreciate you 👊🏽,APompliano
Wed Jan 20 15:53:48 +0000 2021,1351920875130519554,  :),APompliano
Wed Jan 20 15:47:23 +0000 2021,1351919259568525312,"I'm recording with Shopify President  tomorrow.

What questions do you have for him?",APompliano
Wed Jan 20 15:34:26 +0000 2021,1351916002209112064, Youtube,APompliano
Wed Jan 20 15:32:55 +0000 2021,1351915619696959493,"  🙏🏼🙏🏼🙏🏼 check out  for the interest I discussed 

",APompliano
Wed Jan 20 15:32:11 +0000 2021,1351915434124181509,"  Short term price volatility vs long term structure. If you bought in 2017 and held till today (long term), you’re doing just fine :)",APompliano
Wed Jan 20 15:31:23 +0000 2021,1351915232835342341,   🙏🏼🙏🏼🙏🏼🙏🏼,APompliano
Wed Jan 20 15:31:08 +0000 2021,1351915167869710336,  🙏🏼🙏🏼🙏🏼🙏🏼,APompliano
Wed Jan 20 15:07:04 +0000 2021,1351909114209857537,  🙏🏼🙏🏼🙏🏼,APompliano
Wed Jan 20 15:06:40 +0000 2021,1351909013076762624,  🙏🏼🙏🏼🙏🏼🙏🏼,APompliano
Wed Jan 20 15:06:17 +0000 2021,1351908918038040576,      🙏🏼🙏🏼🙏🏼,APompliano
Wed Jan 20 15:05:37 +0000 2021,1351908748558819328, Sober. You don’t want to see a drunk rant,APompliano
Wed Jan 20 15:04:49 +0000 2021,1351908545458003976,  Let’s go!,APompliano
Wed Jan 20 15:03:06 +0000 2021,1351908117043433472,  😂😂😂🙏🏼🙏🏼,APompliano
Wed Jan 20 14:31:24 +0000 2021,1351900136314728450,   Legend,APompliano
Wed Jan 20 14:31:18 +0000 2021,1351900113690570752," Today's  features , who has long been credited for being the mastermind behind the Kardashian-J…",APompliano
Wed Jan 20 14:20:37 +0000 2021,1351897424172871683,  👀,APompliano
Wed Jan 20 14:01:15 +0000 2021,1351892551968681989, That is why the entire situation is so absurd,APompliano
Wed Jan 20 13:59:01 +0000 2021,1351891986777780225," the latest one titled ""Pomp it up"" (lol)",APompliano
Wed Jan 20 13:58:25 +0000 2021,1351891837150244874,  bang bang!,APompliano
Wed Jan 20 13:46:02 +0000 2021,1351888718915768320, do it today,APompliano
Wed Jan 20 13:45:37 +0000 2021,1351888616583266304, Everyone goes through the journey :),APompliano
Wed Jan 20 13:45:25 +0000 2021,1351888566062874628, :),APompliano
Wed Jan 20 13:42:14 +0000 2021,1351887763902238722,   bang bang!,APompliano
Wed Jan 20 13:40:12 +0000 2021,1351887251467329544,"BREAKING: My guy  is now getting paid in Bitcoin. 

Joe gets it. Joe is ahead of the curve. Joe wins.

I went on his podcast and we talked about what this means. Starts at the 1:13:00 mark. 

Shoutout . Enjoy 🔥

",APompliano
Wed Jan 20 13:34:06 +0000 2021,1351885719262912514,"New episode with  cofounder  is live!

- Biowearables
- Metabolic health
- Physical output vs food consumption
- Real time biological information
- Working at SpaceX and Hyperloop One

This one was a lot of fun. Enjoy!

",APompliano
Wed Jan 20 13:30:11 +0000 2021,1351884730019491840,  legend status,APompliano
Wed Jan 20 13:29:23 +0000 2021,1351884528651010051,  lets get it!,APompliano
Wed Jan 20 13:21:54 +0000 2021,1351882646746525696,  🔥🔥🔥,APompliano
Wed Jan 20 13:21:28 +0000 2021,1351882538860630017, :),APompliano
Wed Jan 20 13:07:43 +0000 2021,1351879076143910912, Lol have a little fun,APompliano
Wed Jan 20 12:59:15 +0000 2021,1351876945894637569, Invest. Invest. Invest. Stop consuming nonsense and make your money grow for you.,APompliano
Wed Jan 20 12:56:49 +0000 2021,1351876336445501442, 👀,APompliano
Wed Jan 20 12:56:04 +0000 2021,1351876145445269509, Always.,APompliano
Wed Jan 20 12:54:33 +0000 2021,1351875764581527553, 🙏🏼🙏🏼🙏🏼,APompliano
Wed Jan 20 12:54:19 +0000 2021,1351875704045113345," Warren Buffett hasn’t beaten the S&amp;P in over a decade. He had a historic run, but let’s not get confused about who is performing well in this environment and who is not",APompliano
Wed Jan 20 12:52:33 +0000 2021,1351875261424394242, Just warming up!,APompliano
Wed Jan 20 12:51:20 +0000 2021,1351874953654771713,Good morning to everyone who needs to hear this public service announcement ,APompliano
Wed Jan 20 12:34:23 +0000 2021,1351870688135704578, :),APompliano
Wed Jan 20 04:02:07 +0000 2021,1351741775031971841, Facts,APompliano
Wed Jan 20 03:33:21 +0000 2021,1351734533402595330, Retweet if you believe aliens are real,APompliano
Wed Jan 20 03:00:13 +0000 2021,1351726196917219334,    I'll learn everything I can from those two :),APompliano
Wed Jan 20 02:51:33 +0000 2021,1351724015040258053,"When journalists become activists, everyone else is forced to become an activist too.",APompliano
Wed Jan 20 02:44:37 +0000 2021,1351722267634503681,"I'm recording with  tomorrow.

What questions do you have for him?",APompliano
Wed Jan 20 01:12:30 +0000 2021,1351699085766619137, 🔥🔥🔥,APompliano
Wed Jan 20 01:02:16 +0000 2021,1351696512548556807," Yes, changing your mind when new information is presented is such a sign of stupidity 😂",APompliano
Wed Jan 20 00:55:07 +0000 2021,1351694711665422337,"lol a single Bitcoin is $36,000 and everyone out here pretending like it's no big deal 🔥",APompliano
Wed Jan 20 00:37:20 +0000 2021,1351690238872219649,"Every morning I write a letter to 115,000 investors and break down Bitcoin, business, &amp; finance in simple terms.

Subscribers include billionaires, large institutional allocators, &amp; world’s most successful investors.

Read what the smart money is reading: ",APompliano
Tue Jan 19 23:05:25 +0000 2021,1351667105767239680,Retweet if you believe aliens are real,APompliano
Tue Jan 19 21:22:53 +0000 2021,1351641301314392064,“Pay me in Bitcoin.” - ,APompliano
Tue Jan 19 18:28:19 +0000 2021,1351597369796808709,"Janet Yellen stated today that cryptocurrencies are concerning because of terrorist financing and money laundering.

She forgot to mention that the US dollar is the choice currency of criminals around the world.

The large banks launder more money than entire Bitcoin market cap.",APompliano
Tue Jan 19 18:26:50 +0000 2021,1351596999179718656, Provably inaccurate. ,APompliano
Tue Jan 19 18:26:09 +0000 2021,1351596827968229382,  This is demonstratively false and I’m sure they all know it ,APompliano
Tue Jan 19 18:01:41 +0000 2021,1351590668997701633, 😂🔥,APompliano
Tue Jan 19 17:47:44 +0000 2021,1351587158403018755,    🔥🔥🔥,APompliano
Tue Jan 19 17:47:13 +0000 2021,1351587026626342915, 🔥🔥,APompliano
Tue Jan 19 16:34:10 +0000 2021,1351568643545563142,"""No keys, no cheese"" - ",APompliano
Tue Jan 19 15:31:01 +0000 2021,1351552750467899392,   🔥🔥,APompliano
Tue Jan 19 15:30:42 +0000 2021,1351552674685214723," ✨ NEW from : In today's interview, we learn about 's Olympic journey, which taught her key l…",APompliano
Tue Jan 19 14:11:15 +0000 2021,1351532680438013953, :),APompliano
Tue Jan 19 14:08:37 +0000 2021,1351532015737327617, very true!,APompliano
Tue Jan 19 13:44:59 +0000 2021,1351526067262128128,"Bitcoin will be the global reserve currency. 

Another milestone on this path is now sports teams are conducting transactions in the digital currency. (h/t )

",APompliano
Tue Jan 19 13:43:09 +0000 2021,1351525605729304577," That wouldn't be my one piece of advice. Instead, it would be to pursue happiness over everything else. 

We all die. Enjoy it :)",APompliano
Tue Jan 19 13:42:12 +0000 2021,1351525369673887747,The greatest freedom in life is to tie your identity to nothing but your name.,APompliano
Tue Jan 19 13:40:56 +0000 2021,1351525049593982977," Congrats! It is cool to see everyone who held through a long bear market, or dollar cost averaged for awhile, realize a new all-time high :)",APompliano
Tue Jan 19 13:34:32 +0000 2021,1351523438536617989,"We haven't had a sustained bear market in over a decade in the public markets.

Based on the way various officials are talking, we may never have another one again.

Do they really believe they can prevent natural market corrections from ever occurring again?",APompliano
